Year,Make ,Model,Price Carbon,Price Ceramic,Front Carbon,Front Ceramic,Back Carbon,Back Ceramic
,Acura,ILX,200,280,100,150,170,260
,Acura ,Integra,200,280,100,150,170,260
2019,Acura,MDX,225,325,100,150,195,275
,Acura,NSX,240,340,100,150,180,260
,Acura,RDX,225,325,120,170,195,275
,Acura,RLX,200,280,120,170,170,260
,Acura,RSX,180,280,100,150,120,190
2014,acura,TL,200,280,100,150,170,260
,Acura,TLX,200,280,100,150,170,260
,Acura,TSX,200,280,100,150,170,260
,acura,integra,200,280,100,150,170,260
,Acura,ZDX,200,280,100,150,170,260
,Alfa Romeo,Guilia,200,280,100,150,170,260
,Alfa Romeo,Stelvio,225,325,100,150,195,275
,Alfa Romeo,4c spider,180,280,100,150,170,260
,Alfa Romeo,Tonale,250,350,100,150,195,275
,Aston Martin,DBX,360,460,170,200,325,425
,Aston Martin,Vantage,300,400,170,200,200,270
,Aston Martin,Vanquish,300,400,170,200,200,270
,Aston Martin,Volante db11,300,400,170,200,200,270
,Aston Martin,Rapide,300,400,170,200,200,300
2011,Audi,A3 wagon,225,325,100,150,195,275
,Audi,A3 etron,200,300,100,150,170,260
,Audi,A4,200,280,100,150,170,260
,Audi,A5 cabriola,180,280,100,150,130,200
,Audi,A5,200,280,100,150,170,260
,Audi,A6,200,280,100,150,170,260
,Audi,A8,200,280,100,150,170,260
,Audi,etron,225,325,100,150,195,275
,Audi,etron GT,260,360,170,200,200,300
,Audi,Q3,225,325,100,150,195,275
,Audi,Q4 sportback,280,380,120,170,225,325
,Audi,Q4,250,350,120,170,195,275
,Audi,Q5,225,325,100,150,195,275
,Audi,Q7,225,325,100,150,195,275
2023,Audi,Q7,250,350,120,170,225,325
,Audi,Q7,250,350,120,170,195,275
,Audi ,Q8,300,400,100,150,250,350
,Audi ,Q8 etron,300,400,100,150,250,350
,Audi,R8,400,500,200,260,200,270
,Audi,RS6 wagon,300,400,170,200,260,350
,Audi,RS7,240,340,170,200,300,400
,Audi,S3 Hatch,200,280,100,150,170,260
,Audi,S4,200,280,100,150,170,260
,Audi,S8,280,380,100,150,225,300
,Audi,SQ5,225,325,100,150,195,275
,Audi,TT,180,280,100,150,120,190
,Bentley,Bentayga,500,600,170,235,400,500
,Bentley,continental,400,500,170,200,300,400
,BMW,128i,180,280,100,150,130,200
,BMW ,2 series,180,280,100,150,150,200
,BMW,3 series,200,280,100,150,170,260
,BMW,3 series wagon,260,360,100,150,200,300
,BMW,4 series,200,280,100,150,170,260
,BMW,428i grand coupe,200,280,100,150,170,260
,BMW,5 series,200,280,100,150,170,260
,BMW,530e,200,280,100,150,170,260
,BMW,5S,200,280,100,150,170,260
,BMW,6 series,180,280,100,150,150,200
,BMW,750i,300,400,120,170,240,300
,BMW,750LI,325,425,120,170,240,300
,BMW,840i,240,340,100,150,200,275
,BMW,840i gran coupe,260,360,100,150,210,300
,BMW,i3,225,325,120,170,180,240
,BMW,i4 35,200,280,100,150,170,260
,BMW,i4 M50,200,280,100,150,170,260
,BMW,i8,260,360,170,220,200,300
,BMW ,ix coupe,330,430,170,200,250,350
,BMW ,M2,325,425,170,200,275,375
,BMW,M340i,200,300,100,150,130,200
,BMW,M4 competition,260,360,100,150,225,300
,BMW,M4,260,360,100,150,225,300
,BMW ,M5,280,380,100,150,225,300
,BMW,M6,280,380,170,200,200,280
,BMW,M8,260,360,170,200,200,280
,BMW,M850i,280,380,170,200,170,260
,BMW,x1,250,250,170,200,200,280
,BMW,X2,225,325,100,150,180,260
,BMW,X3,250,350,100,150,200,300
,BMW,X4,250,350,130,200,200,300
,BMW,X5,250,350,100,150,240,320
,BMW,x6,250,350,100,150,200,300
,BMW,x7,250,350,100,150,200,300
,BMW,Z4,225,325,100,150,200,280
,Buick,Encore,250,350,120,170,195,275
,Buick,Century,200,280,100,150,170,260
,Buick,Enclave,250,350,120,170,220,320
,Buick,Lacrosse,200,280,100,150,170,260
,Buick,Regal,200,280,100,150,170,260
,Cadillac,ATS,200,280,100,150,170,260
,Cadillac,CT4,200,280,100,150,170,260
,Cadillac,CT5,200,280,100,150,170,260
,Cadillac,CTS,200,280,100,150,170,260
,Cadillac,Escalade,330,430,120,170,280,380
,Cadillac,Lyriq,250,350,120,170,195,275
,Cadillac,SRX,225,325,100,150,195,275
,Cadillac,xT4,250,350,120,170,195,275
,Cadillac,XT6,280,380,120,170,240,340
,Cadillac,xts,200,280,100,150,170,260
2005,Chevrolet,Astrovan,390,490,100,150,250,450
,Chevrolet,avalanche,200,280,100,150,170,260
,Chevrolet,Aveo,200,280,100,150,130,200
,Chevrolet,Blazer,250,350,120,170,220,320
,Chevrolet,Bolt,200,300,120,170,170,260
